name,latitude,longitude,city,country,data_source,osm_id
Dog Park 733805905,39.756223,-105.0184566,Denver,USA,OpenStreetMap,733805905
Dog Park 1126538409,39.7302623,-104.9206452,Denver,USA,OpenStreetMap,1126538409
Barnum Dog Park,39.7239271,-105.0303265,Denver,USA,OpenStreetMap,1206243365
Dog Park 1216328106,39.7568701,-105.0133161,Denver,USA,OpenStreetMap,1216328106
Skiptown,39.7697005,-104.9559748,Denver,USA,OpenStreetMap,1329968295
Mountair Dog Park,39.7376918,-105.0587471,Denver,USA,OpenStreetMap,1355021232
Bark Park,39.714868,-104.9477913,Denver,USA,OpenStreetMap,1357556409
Alberta Park Off-Leash Area,45.564905,-122.6437414,Portland,USA,OpenStreetMap,4324633230
Frazer Park off-leash dog area,45.5306219,-122.6121147,Portland,USA,OpenStreetMap,4578000695
Dog Park 6750950129,45.5406091,-122.6278233,Portland,USA,OpenStreetMap,6750950129
Council Crest Off-Leash Area,45.4981011,-122.7063781,Portland,USA,OpenStreetMap,9905044104
Dog Park 39799548,45.5469509,-122.6576395,Portland,USA,OpenStreetMap,39799548
Fernhill City Dog Park,45.5667229,-122.6226061,Portland,USA,OpenStreetMap,99256833
Dog Park 146690542,45.4707667,-122.7205208,Portland,USA,OpenStreetMap,146690542
Dog Park 146690543,45.4730691,-122.7223887,Portland,USA,OpenStreetMap,146690543
Dog Park 203033389,45.5585969,-122.6720834,Portland,USA,OpenStreetMap,203033389
Arbor Lodge Park Off Leash Area,45.573122,-122.6942373,Portland,USA,OpenStreetMap,272505205
Wishire Off Leash Dog Park,45.5529265,-122.6262147,Portland,USA,OpenStreetMap,281372468
Dog Park 345128600,45.5336318,-122.6820862,Portland,USA,OpenStreetMap,345128600
Wallace Park Off-Leash Area,45.5336159,-122.7031798,Portland,USA,OpenStreetMap,403363696
Fido's Indoor Dog Park,45.48729,-122.6410445,Portland,USA,OpenStreetMap,482738147
Normandale Park Off-Leash Area,45.531518,-122.6062136,Portland,USA,OpenStreetMap,507824616
Fernhill Dogpark,45.5676361,-122.6230927,Portland,USA,OpenStreetMap,568861152
Dog Park 609825373,45.5084925,-122.6747874,Portland,USA,OpenStreetMap,609825373
Dog Run,45.5093392,-122.6743019,Portland,USA,OpenStreetMap,609825374
Dog Park 675755055,45.449668,-122.71134,Portland,USA,OpenStreetMap,675755055
Dog Park 836678285,45.4867801,-122.7363034,Portland,USA,OpenStreetMap,836678285
Sellwood Dog Park,45.4665237,-122.6634184,Portland,USA,OpenStreetMap,837651621
South Waterfront Dog Park,45.4980211,-122.6681921,Portland,USA,OpenStreetMap,1078912877
Council Crest Off-Leash Area,45.4981259,-122.7063734,Portland,USA,OpenStreetMap,1186856370
Off Leash Dog Park,45.4800931,-122.625466,Portland,USA,OpenStreetMap,1228976952
Leash-free zone,43.6719551,-79.3574099,Toronto,Canada,OpenStreetMap,4980649008
Leash-free zone,43.670419,-79.4150841,Toronto,Canada,OpenStreetMap,4980649015
Leash-free zone,43.6662933,-79.3588897,Toronto,Canada,OpenStreetMap,4980649017
Small Area for Dog Playing,43.6560433,-79.389977,Toronto,Canada,OpenStreetMap,12769371164
